Pays,Ville,Nom de la clinique,Type,Total cliniques pays,Cliniques rapportantes,Configuration pays
Austria,Bregenz,Institut für Reproduktionsmedizin und Endokrinologie,Privée,25,25,Both private and public centres
Austria,Dobl,Kinderwunschinstitut Schenk,Privée,25,25,Both private and public centres
Austria,Graz,Institut für In-Vitro-Fertilisierung und Endokrinologie,Privée,25,25,Both private and public centres
Austria,Graz,Institut für Hormonstörungen Wechselbeschwerden und Kinderwunsch,Privée,25,25,Both private and public centres
Austria,Graz,A. ö. Landeskrankenhaus Graz,Publique,25,25,Both private and public centres
Austria,Horn,Landesklinikum Waldviertel Horn,Publique,25,25,Both private and public centres
Austria,Hohenems,Landeskrankenhaus Hohenems,Publique,25,25,Both private and public centres
Austria,Innsbruck,Landeskrankenhaus-Universitätskliniken Innsbruck,Publique,25,25,Both private and public centres
Austria,Innsbruck,Private Kinderwunschklinik Dr. Josef Zech GmbH,Privée,25,25,Both private and public centres
Austria,Innsbruck,WOMED Therapiezentrum Kinderwunsch GmbH,Privée,25,25,Both private and public centres
Austria,Klagenfurt,Sterignost Kinderwunschbehandlungs GmbH,Privée,25,25,Both private and public centres
Austria,Krumpendorf,Privatkrankenanstalt Parkvilla,Privée,25,25,Both private and public centres
Austria,Linz,Landes-Frauen- und –Kinderklinik,Publique,25,25,Both private and public centres
Austria,Oberpullendorf,23 A. ö. Krankenhaus Oberpullendorf,Publique,25,25,Both private and public centres
Austria,St. Pölten,Landesklinikum St. Pölten,Publique,25,25,Both private and public centres
Austria,Salzburg,St. Johanns Spital,Publique,25,25,Both private and public centres
Austria,Vienna,Allgemeines Krankenhaus der Stadt Wien,Publique,25,25,Both private and public centres
Austria,Vienna,Goldenes Kreuz,Privée,25,25,Both private and public centres
Austria,Vienna,GYNANDRON Dr. Freude,Privée,25,25,Both private and public centres
Austria,Vienna,Krankenhaus Hietzing,Privée,25,25,Both private and public centres
Austria,Vienna,Wunschbaby-Zentrum,Privée,25,25,Both private and public centres
Austria,Vienna,Adebar – Institut für Reproduktionsmedizin und Psychosomatik der Sterilität,Privée,25,25,Both private and public centres
Austria,Vienna,22 Tagesklinik,Publique,25,25,Both private and public centres
Austria,Wals-Himmelreich,Babywunsch-Klinik Dr. Zajc GmbH,Privée,25,25,Both private and public centres
Austria,Wels-Thalheim,Die KinderWunschKlinik Dr. Loimer GmbH,Privée,25,25,Both private and public centres
Belgium,Antwerpen,"Dienst Fertiliteit, Algemeen Ziekenhuis Middelheim",Publique,18,18,Only public centres
Belgium,Braine - L’alleud,"Centre de Fécondation C.H. Interregional Edith Cavell (CHIREC),",Publique,18,18,Only public centres
Belgium,Brugge,"BIRTH – Fertiliteitskliniek, Algemeen Ziekenhuis Sint-Jan",Publique,18,18,Only public centres
Belgium,Brussel,"Centrum voor Reproductieve Geneeskunde, UZ Brussel",Publique,18,18,Only public centres
Belgium,Brussel,"Service de Gynécologie, Cliniques Universitaires Saint-Luc - U.C.L",Publique,18,18,Only public centres
Belgium,Brussel,Centre de FIV de l’U.L.B. – Hôpital Erasme,Publique,18,18,Only public centres
Belgium,Charleroi,"Service Gyn/Obst, Clinique Notre Dame",Publique,18,18,Only public centres
Belgium,Genk,"Centre for Reproductive Medicine, Ziekenhuis Oost-Limburg - St. Jan",Publique,18,18,Only public centres
Belgium,Gent,"Vrouwenkliniek- Infertiliteitscentrum, U.Z. – Gent",Publique,18,18,Only public centres
Belgium,Gent,"Centrum voor Fertiliteitstherapie, A.Z. Jan Palfijn",Publique,18,18,Only public centres
Belgium,Leuven,"dienst Gynaecologie, Universitaire Zieknhuizen K.U.Leuven Gasthuisberg",Publique,18,18,Only public centres
Belgium,Leuven,"Unit Reproductieve Geneeskunde, Regionaal Ziekenhuis Heilig Hart",Publique,18,18,Only public centres
Belgium,Libramont,"Centre d’Infertilité, Centre Hospitalier de l'Ardenne",Publique,18,18,Only public centres
Belgium,Liege,"Centre de FIV, Centre Hospitalier Régional de la Citadelle",Publique,18,18,Only public centres
Belgium,Namur,"Service Gynéco, Centre Hospitalier Régional de Namur",Publique,18,18,Only public centres
Bulgaria,Sofia,In Vitro Medical center “Bratya Todorovi”,Privée,15,8,"Both private and public centres, but reporting centres only private"
Bulgaria,Sofia,Ob/Gyn Center “Dimitrov”,Privée,15,8,"Both private and public centres, but reporting centres only private"
Bulgaria,Sofia,Medical center “Reprobiomed”,Privée,15,8,"Both private and public centres, but reporting centres only private"
Bulgaria,Sofia,"IVF Unit, Ob/Gyn Hospital “Dr. Shterev”",Privée,15,8,"Both private and public centres, but reporting centres only private"
Bulgaria,Varna,ART Centre “Varna” OOD,Privée,15,8,"Both private and public centres, but reporting centres only private"
Bulgaria,Varna,In Vitro Center ”Olimed”;,Privée,15,8,"Both private and public centres, but reporting centres only private"
Bulgaria,Plovdiv,"In Vitro Center, Ob/Gyn Hospital ”Selena”",Privée,15,8,"Both private and public centres, but reporting centres only private"
